"filename", "language", "Properties", "JavaScript", "JavaScript JSX", "CSS", "JSON", "Markdown", "Prisma", "HTML", "XML", "JSON with Comments", "comment", "blank", "total"
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\dots.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\download-4.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\download-5.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\empty.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\graduation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\lightwave.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\line.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\pinkmount.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\image\wave.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\forgotPassword\formikData.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\forgotPassword\index.jsx", "JavaScript JSX", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 2, 22, 148
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\forgotPassword\styles.module.css", "CSS", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\admin\formikData.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\admin\index.jsx", "JavaScript JSX", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 6, 21, 186
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\admin\styles.module.css", "CSS", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\index.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\student\formikData.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\student\index.jsx", "JavaScript JSX", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 6, 23, 200
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\student\styles.module.css", "CSS", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 9, 68
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\teacher\formikData.jsx", "JavaScript JSX", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\Enes\Documents\GitHub\CaliskanAri----Medyanes-360\components\auth\login\teacher\index.jsx", "JavaScript JSX", 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 6, 21, 198
